Буква,Частота встреч в раз,Частота встреч в %
л,129032,4.75
е,213149,7.84
в,127729,4.7
н,166710,6.13
и,178173,6.55
к,90738,3.34
о,300734,11.06
а,213106,7.84
ч,37358,1.37
т,158880,5.84
с,147905,5.44
й,27827,1.02
м,78757,2.9
р,122819,4.52
г,53807,1.98
у,69488,2.56
д,80657,2.97
з,46573,1.71
ь,48983,1.8
х,22010,0.81
ж,26928,0.99
я,56077,2.06
э,7840,0.29
щ,7558,0.28
п,68007,2.5
ы,48969,1.8
б,44236,1.63
a,5587,0.21
b,893,0.03
y,166,0.01
w,74,0.0
t,4570,0.17
o,4830,0.18
l,4199,0.15
s,5938,0.22
r,5205,0.19
u,4725,0.17
ц,9496,0.35
ш,23499,0.86
e,12050,0.44
p,2026,0.07
ю,17102,0.63
ф,5568,0.2
d,2579,0.09
i,12590,0.46
n,5518,0.2
g,718,0.03
f,831,0.03
c,2564,0.09
v,2786,0.1
x,2200,0.08
h,1037,0.04
m,3152,0.12
q,797,0.03
j,557,0.02
z,405,0.01
ё,1974,0.07
ъ,1125,0.04
k,109,0.0
