Слово,Частота встреч в раз,Частота встреч в %
лев,1,0.0
николаевич,12,0.0
толстой,35,0.01
война,84,0.01
и,24237,4.31
мир,68,0.01
государственное,1,0.0
издательство,1,0.0
художественная,4,0.0
литература,1,0.0
москва,80,0.01
1937,1,0.0
1940,1,0.0
электронное,2,0.0
издание,28,0.0
осуществлено,1,0.0
в,17850,3.17
рамках,1,0.0
краудсорсингового,1,0.0
проекта,6,0.0
весь,176,0.03
один,539,0.1
клик,3,0.0
организаторы,1,0.0
государственный,12,0.0
музей,5,0.0
л,13,0.0
н,33,0.01
толстого,53,0.01
усадьба,5,0.0
ясная,5,0.0
поляна,4,0.0
компания,2,0.0
abbyy,3,0.0
подготовлено,2,0.0
на,7426,1.32
основе,3,0.0
электронных,1,0.0
копий,1,0.0
томов,12,0.0
9,141,0.03
12,169,0.03
полного,7,0.0
собрания,8,0.0
сочинений,15,0.0
предоставленных,1,0.0
российской,4,0.0
государственной,5,0.0
библиотекой,2,0.0
90,23,0.0
томного,3,0.0
доступно,2,0.0
портале,1,0.0
www,1,0.0
tolstoy,3,0.0
ru,4,0.0
предисловие,5,0.0
редакционные,3,0.0
пояснения,3,0.0
к,3807,0.68
томам,7,0.0
можно,244,0.04
прочитать,1,0.0
настоящем,19,0.0
издании,34,0.01
если,209,0.04
вы,1211,0.22
нашли,14,0.0
ошибку,11,0.0
пожалуйста,32,0.01
напишите,2,0.0
нам,205,0.04
report,1,0.0
электронному,1,0.0
изданию,13,0.0
настоящее,13,0.0
представляет,4,0.0
собой,200,0.04
электронную,1,0.0
версию,1,0.0
льва,2,0.0
николаевича,2,0.0
вышедшего,2,0.0
свет,57,0.01
1928,1,0.0
1958,1,0.0
гг,118,0.02
это,2803,0.5
уникальное,1,0.0
академическое,1,0.0
самое,144,0.03
полное,16,0.0
собрание,3,0.0
наследия,1,0.0
давно,184,0.03
стало,129,0.02
библиографической,1,0.0
редкостью,1,0.0
2006,1,0.0
году,76,0.01
сотрудничестве,1,0.0
с,6575,1.17
при,618,0.11
поддержке,1,0.0
фонда,1,0.0
э,31,0.01
меллона,1,0.0
координации,1,0.0
британского,1,0.0
совета,41,0.01
осуществили,1,0.0
сканирование,1,0.0
всех,646,0.11
издания,54,0.01
однако,90,0.02
для,1447,0.26
того,1015,0.18
чтобы,827,0.15
пользоваться,12,0.0
всеми,107,0.02
преимуществами,2,0.0
электронной,1,0.0
версии,2,0.0
чтение,15,0.0
современных,3,0.0
устройствах,1,0.0
возможность,52,0.01
работы,18,0.0
текстом,7,0.0
предстояло,9,0.0
еще,1258,0.22
распознать,1,0.0
более,471,0.08
46,32,0.01
000,24,0.0
страниц,6,0.0
этого,865,0.15
вместе,274,0.05
партнером,1,0.0
компанией,2,0.0
открыли,5,0.0
проект,5,0.0
сайте,2,0.0
readingtolstoy,1,0.0
проекту,2,0.0
присоединились,10,0.0
трех,59,0.01
тысяч,111,0.02
волонтеров,1,0.0
которые,742,0.13
помощью,13,0.0
программы,2,0.0
finereader,1,0.0
распознавали,1,0.0
текст,39,0.01
исправляли,1,0.0
ошибки,18,0.0
буквально,1,0.0
за,2123,0.38
десять,56,0.01
дней,58,0.01
прошел,77,0.01
первый,203,0.04
этап,1,0.0
сверки,1,0.0
два,319,0.06
месяца,38,0.01
второй,46,0.01
после,957,0.17
третьего,31,0.01
этапа,1,0.0
корректуры,3,0.0
тома,35,0.01
отдельные,11,0.0
произведенияпубликуются,1,0.0
электронном,1,0.0
виде,50,0.01
сохраняется,1,0.0
орфография,1,0.0
пунктуация,2,0.0
печатной,1,0.0
руководитель,2,0.0
фекла,1,0.0
толстая,8,0.0
перепечатка,1,0.0
разрешается,3,0.0
безвозмездно,1,0.0
reproduction,1,0.0
libre,1,0.0
pour,116,0.02
tous,21,0.0
les,236,0.04
pays,3,0.0
1863,4,0.0
1869,25,0.0
1873,28,0.0
том,850,0.15
часть,173,0.03
первая,50,0.01
i,1573,0.28
ii,1108,0.2
iii,366,0.07
iv,275,0.05
v,99,0.02
vi,73,0.01
vii,75,0.01
viii,71,0.01
ix,78,0.01
х,16,0.0
xi,74,0.01
xii,82,0.01
xiii,73,0.01
xiv,74,0.01
xv,71,0.01
xvi,79,0.01
xvii,67,0.01
xviii,71,0.01
xix,75,0.01
xx,45,0.01
xxi,42,0.01
xxii,32,0.01
xxiii,26,0.0
xxiv,21,0.0
xxv,23,0.0
вторая,35,0.01
x,82,0.01
третья,23,0.0
ххіv,2,0.0
xxvi,19,0.0
четвертая,13,0.0
іх,2,0.0
хі,3,0.0
пятая,5,0.0
третий,61,0.01
xxvii,15,0.0
xxviii,14,0.0
xxix,14,0.0
xxx,13,0.0
xxxi,14,0.0
xxxii,14,0.0
xxxiii,14,0.0
xxxiv,14,0.0
xxxv,10,0.0
xxxvi,12,0.0
xxxvii,10,0.0
xxxviii,10,0.0
xxxix,9,0.0
ххiii,2,0.0
четвертый,17,0.0
хvііі,3,0.0
эпилог,47,0.01
печатные,3,0.0
варианты,5,0.0
войны,196,0.03
мира,115,0.02
обзор,3,0.0
содержания,7,0.0
по,2353,0.42
главам,4,0.0
1,1233,0.22
я,3399,0.6
2,656,0.12
3,464,0.08
4,326,0.06
5,223,0.04
указатель,4,0.0
собственных,4,0.0
имен,4,0.0
иллюстрации,2,0.0
девятому,4,0.0
четырнадцатому,4,0.0
редакторы,1,0.0
г,3109,0.55
а,2104,0.37
волков,3,0.0
м,110,0.02
цявловский,2,0.0
размер,5,0.0
подлинника,6,0.0
eh,32,0.01
bien,84,0.01
mon,194,0.03
prince,46,0.01
gênes,2,0.0
et,318,0.06
lucques,2,0.0
ne,155,0.03
sont,34,0.01
plus,84,0.01
que,287,0.05
des,121,0.02
apanages,1,0.0
поместья,3,0.0
de,685,0.12
la,348,0.06
famille,5,0.0
buonaparte,11,0.0
non,40,0.01
je,280,0.05
vous,413,0.07
préviens,1,0.0
si,69,0.01
me,106,0.02
dites,30,0.01
pas,167,0.03
nous,119,0.02
avons,5,0.0
guerre,29,0.01
permettez,2,0.0
encore,18,0.0
pallier,1,0.0
toutes,15,0.0
infamies,1,0.0
atrocités,1,0.0
cet,23,0.0
antichrist,1,0.0
ma,127,0.02
parole,13,0.0
j,80,0.01
y,49,0.01
crois,6,0.0
connais,8,0.0
n,124,0.02
êtes,30,0.01
ami,22,0.0
мой,337,0.06
верный,6,0.0
раб,7,0.0
comme,78,0.01
ну,663,0.12
здравствуйте,14,0.0
vois,9,0.0
fais,4,0.0
peur,9,0.0
садитесь,8,0.0
рассказывайте,3,0.0
так,2158,0.38
говорила,280,0.05
июле,2,0.0
1805,70,0.01
года,128,0.02
известная,11,0.0
анна,258,0.05
павловна,136,0.02
шерер,11,0.0
фрейлина,3,0.0
приближенная,1,0.0
императрицы,11,0.0
марии,9,0.0
феодоровны,2,0.0
встречая,6,0.0
важного,13,0.0
чиновного,1,0.0
князя,468,0.08
василия,37,0.01
первого,69,0.01
приехавшего,4,0.0
ее,1831,0.33
вечер,90,0.02
кашляла,3,0.0
несколько,425,0.08
у,1426,0.25
нее,405,0.07
был,1834,0.33
грипп,2,0.0
как,4560,0.81
она,2906,0.52
тогда,301,0.05
новое,75,0.01
слово,144,0.03
употреблявшееся,1,0.0
только,1742,0.31
редкими,6,0.0
записочках,1,0.0
разосланных,1,0.0
утром,56,0.01
красным,35,0.01
лакеем,5,0.0
было,2679,0.48
написано,15,0.0
без,461,0.08
различия,7,0.0
во,906,0.16
avez,35,0.01
rien,19,0.0
mieux,12,0.0
à,297,0.05
faire,42,0.01
m,239,0.04
le,356,0.06
comte,16,0.0
или,863,0.15
perspective,1,0.0
passer,3,0.0
soirée,3,0.0
chez,14,0.0
une,129,0.02
pauvre,32,0.01
князь,1536,0.27
генуя,3,0.0
лукка,3,0.0
фамилии,10,0.0
бонапарте,79,0.01
нет,953,0.17
вам,365,0.06
вперед,256,0.05
говорю,105,0.02
мне,867,0.15
не,9587,1.7
скажете,6,0.0
что,8275,1.47
нас,208,0.04
позволите,13,0.0
себе,722,0.13
защищать,12,0.0
все,1144,0.2
гадости,2,0.0
ужасы,6,0.0
антихриста,2,0.0
право,102,0.02
верю,21,0.0
он,8137,1.45
антихрист,2,0.0
вас,425,0.08
больше,365,0.06
знаю,255,0.05
уж,182,0.03
друг,295,0.05
говорите,51,0.01
вижу,48,0.01
пугаю,1,0.0
malade,4,0.0
effraye,1,0.0
trop,14,0.0
serai,6,0.0
charmée,4,0.0
voir,18,0.0
moi,55,0.01
entre,16,0.0
7,146,0.03
10,154,0.03
heures,3,0.0
annette,17,0.0
scherer,1,0.0
dieu,34,0.01
quelle,11,0.0
virulente,1,0.0
sortie,1,0.0
отвечал,286,0.05
нисколько,29,0.01
смутясь,1,0.0
такою,55,0.01
встречей,2,0.0
вошедший,9,0.0
придворном,9,0.0
шитом,6,0.0
мундире,45,0.01
чулках,11,0.0
башмаках,9,0.0
звездах,5,0.0
светлым,5,0.0
выражением,107,0.02
плоского,2,0.0
лица,270,0.05
говорил,733,0.13
изысканном,1,0.0
французском,14,0.0
языке,14,0.0
котором,278,0.05
говорили,271,0.05
но,2999,0.53
думали,31,0.01
наши,90,0.02
деды,1,0.0
теми,39,0.01
тихими,9,0.0
покровительственными,1,0.0
интонациями,3,0.0
свойственны,1,0.0
состаревшемуcя,1,0.0
свете,97,0.02
дворе,51,0.01
значительному,1,0.0
человеку,64,0.01
подошел,214,0.04
анне,23,0.0
павловне,19,0.0
поцеловал,57,0.01
руку,371,0.07
подставив,3,0.0
ей,708,0.13
свою,444,0.08
надушенную,2,0.0
сияющую,2,0.0
лысину,3,0.0
покойно,13,0.0
уселся,8,0.0
диване,31,0.01
avant,10,0.0
tout,91,0.02
comment,15,0.0
allez,18,0.0
chère,76,0.01
amie,16,0.0
успокойте,1,0.0
меня,680,0.12
сказал,2225,0.4
изменяя,14,0.0
голоса,132,0.02
тоном,49,0.01
из,2080,0.37
приличия,12,0.0
участия,26,0.0
просвечивало,1,0.0
равнодушие,3,0.0
даже,295,0.05
насмешка,3,0.0
быть,849,0.15
здоровой,2,0.0
когда,1225,0.22
нравственно,19,0.0
страдаешь,2,0.0
разве,102,0.02
имея,19,0.0
чувство,207,0.04
оставаться,35,0.01
спокойною,10,0.0
наше,52,0.01
время,824,0.15
сказала,783,0.14
надеюсь,27,0.0
праздник,13,0.0
английского,8,0.0
посланника,6,0.0
нынче,147,0.03
середа,1,0.0
надо,494,0.09
показаться,5,0.0
там,288,0.05
дочь,82,0.01
заедет,1,0.0
мной,74,0.01
повезет,2,0.0
думала,134,0.02
нынешний,15,0.0
отменен,1,0.0
avoue,5,0.0
ces,24,0.0
fêtes,1,0.0
feux,1,0.0
d,153,0.03
artifice,1,0.0
commencent,1,0.0
devenir,5,0.0
insipides,1,0.0
ежели,511,0.09
бы,1614,0.29
знали,64,0.01
хотите,65,0.01
отменили,1,0.0
привычке,25,0.0
заведенные,1,0.0
часы,28,0.0
говоря,93,0.02
вещи,46,0.01
которым,178,0.03
хотел,269,0.05
верили,10,0.0
tourmentez,1,0.0
qu,125,0.02
a,192,0.03
t,14,0.0
on,85,0.02
décidé,3,0.0
par,39,0.01
rapport,4,0.0
dépêche,2,0.0
